Esum_keV,pdf_per_keV,rate_per_tonne_year_keV_w136eq1,rate_per_tonne_year_keV_natural_LXe,rate_per_tonne_year_keV_w136eq0p90
0.0,0.0,0.0,0.0,0.0
1.0,9.309679963492027e-07,1.3207198431982738,0.1210913154445782,1.1886478588784462
2.0,1.8654223825945858e-06,2.6463856612690115,0.24263610677698147,2.3817470951421105
3.0,2.8033563958855145e-06,3.976987860078941,0.36463349435098913,3.5792890740710464
4.0,3.744763227198558e-06,5.312516779991646,0.48708259251466973,4.7812651019924814
5.0,4.689636021489554e-06,6.652962696083301,0.60998250963016,5.98766642647497
6.0,5.637967877845862e-06,7.998315818358655,0.7333323480934685,7.1984842365227895
7.0,6.589751849638722e-06,9.348566291967188,0.857131204354293,8.413709662770467
8.0,7.544980944675795e-06,10.703704197419496,0.9813781689358615,9.633333777677546
9.0,8.50364812535381e-06,12.063719550803865,1.106072326454787,10.857347595723477
10.0,9.465746308811415e-06,13.428602304003098,1.231212755640949,12.085742073602786
11.0,1.0431268367082077e-05,14.798342344911429,1.356798529357381,13.318508110420284
12.0,1.1400207127247241e-05,16.172929497651808,1.4828287146201926,14.555636547886625
13.0,1.2372555371589543e-05,17.55235352279325,1.6093023726184967,15.797118170513924
14.0,1.3348305837746203e-05,18.936604117568457,1.7362185587343626,17.04294370581161
15.0,1.4327451218862533e-05,20.32567091609158,1.8635763225627828,18.29310382448242
16.0,1.530998416374561e-05,21.719543489576235,1.9913747079316604,19.54758914061861
17.0,1.629589727701808e-05,23.118211346553693,2.1196127529218143,20.80639021189832
18.0,1.7285183119272046e-05,24.5216639330912,2.248289489886998,22.06949753978208
19.0,1.827783420722322e-05,25.92989063301066,2.377403945473946,23.336901569709593
20.0,1.927384301386505e-05,27.342880768107293,2.5069551406424258,24.60859269129656
21.0,2.0273201968623087e-05,28.760623598368607,2.6369420906853116,25.884561238531745
22.0,2.1275903457509477e-05,30.183108322193608,2.7673638052486833,27.164797489974244
23.0,2.2281939823277533e-05,31.610324076612045,2.8982192883519304,28.449291668950835
24.0,2.329130336557643e-05,33.04225993750389,3.029507538407872,29.7380339437535
25.0,2.4303986341106143e-05,34.47890491981914,3.1612275482429095,31.031014427837224
26.0,2.53199809637724e-05,35.92024797779763,3.293378305117185,32.328223180017865
27.0,2.6339279404841775e-05,37.36627800518907,3.42595879074475,33.629650204670156
28.0,2.736187379309694e-05,38.81698383547328,3.5589679813137614,34.93528545192595
29.0,2.838775621499206e-05,40.272354242080645,3.692404847506692,36.24511881787258
30.0,2.941691871480825e-05,41.73237793861268,3.826268354520555,37.55914014475141
31.0,3.0449353294809158e-05,43.1970435790627,3.960557462087134,38.877339221156426
32.0,3.148505191539675e-05,44.66633975803686,4.0952711244932525,40.199705782233174
33.0,3.2524006495267176e-05,46.14025501097527,4.2304082906010425,41.52622950987774
34.0,3.356620891156669e-05,47.618777814373175,4.3659679038682295,42.856900032935854
35.0,3.4611651000047764e-05,49.101896586002454,4.501948902368435,44.1917069274022
36.0,3.56603245552253e-05,50.5895996851332,4.638350218811496,45.53063971661987
37.0,3.671222133053299e-05,52.08187541275557,4.775170780563804,46.87368787148001
38.0,3.77673330384796e-05,53.57871201180146,4.912409509668629,48.220840810621304
39.0,3.8825651350805765e-05,55.080097667366985,5.050065322866521,49.57208790063028
40.0,3.988716789864049e-05,56.58602050693448,5.188137131615658,50.92741845624103
41.0,4.095187427265799e-05,58.09646860059498,5.326623842112252,52.28682174053548
42.0,4.201976202323455e-05,59.61142996127081,5.46552435531095,53.65028696514372
43.0,4.309082266060558e-05,61.130892544938305,5.6048375669452595,55.01780329044447
44.0,4.4165047655022596e-05,62.65484425085059,5.7445623675479744,56.389359825765524
45.0,4.524242843691059e-05,64.18327292176079,5.884697642471635,57.7649456295847
46.0,4.6322956397025305e-05,65.71616634414517,6.025242271908993,59.14454970973064
47.0,4.7406622886610624e-05,67.25351224842639,6.166195130913475,60.52816102358375
48.0,4.8493419217556155e-05,68.79529830919711,6.3075550894196875,61.915768478277386
49.0,4.958333666255479e-05,70.34151214544343,6.4493210122639075,63.30736093089909
50.0,5.0676366455260634e-05,71.89214132076906,6.5914917592046205,64.70292718869214
51.0,5.177249979044647e-05,73.44717334361854,6.734066184943008,66.10245600925667
52.0,5.287172782416215e-05,75.00659566750213,6.877043139143549,67.50593610075191
53.0,5.397404167389235e-05,76.57039569121946,7.0204214664545335,68.91335612209751
54.0,5.507943241871485e-05,78.13856075908413,7.164200006528654,70.32470468317571
55.0,5.618789109945857e-05,79.71107816114795,7.308377594043566,71.73997034503316
56.0,5.729940871886221e-05,81.28793513342593,7.452953058722511,73.15914162008333
57.0,5.841397624173234e-05,82.86911885812056,7.597925225354891,74.5822069723085
58.0,5.953158459510212e-05,84.45461646384702,7.743292913816904,76.0091548174623
59.0,6.0652224668389986e-05,86.04441502585826,7.889054939092192,77.43997352327243
60.0,6.17758873135581e-05,87.63850156626984,8.035210111292445,78.87465140964284
61.0,6.290256334527142e-05,89.2368630542855,8.181757235678091,80.31317674885693
62.0,6.403224354105631e-05,90.83948640642227,8.328695112678934,81.75553776578003
63.0,6.51649186414598e-05,92.44635848673636,8.476022537914863,83.20172263806272
64.0,6.630057935020834e-05,94.05746610704837,8.623738302216495,84.65171949634352
65.0,6.74392163343672e-05,95.67279602716945,8.771841191645924,86.1055164244525
66.0,6.858082022449956e-05,97.29233495512699,8.920329987517404,87.56310145961427
67.0,6.972538161482598e-05,98.91606954739076,9.069203466418083,89.02446259265167
