0.22072919687965076, 1.4088632768877546e+27
0.31448873038433023, 1.6435167371751422e+27
0.40829845875138115, 1.8954403514547438e+27
0.556034315526512, 2.204457562060913e+27
0.730792492965028, 2.540123245342807e+27
0.9595348274123014, 2.912853438961573e+27
1.2153254967552853, 3.289792413088279e+27
1.525121769705104, 3.6796451672413536e+27
1.8619474238777305, 4.071044200687285e+27
2.2392883956670233, 4.460114488543184e+27
2.616683750432982, 4.8261662862417164e+27
2.994122236525261, 5.171166898415188e+27
3.3210492513070267, 5.44207523942432e+27
3.5642168377504064, 5.628770085184582e+27
3.8569802552496513, 5.863030838896265e+27
4.234513546914281, 6.14784203623259e+27
4.569685744279093, 6.390235445605387e+27
4.789297598880919, 6.529929692067066e+27
5.110998731080743, 6.756978401448069e+27
5.5290402976623785, 7.027333948345057e+27
5.9605785938876465, 7.298573815870621e+27
6.392124391213141, 7.567332350902857e+27
6.727365437962204, 7.743207168671503e+27
6.946994973728861, 7.880650892626361e+27
7.282231198342064, 8.072676536584125e+27
7.686833043641814, 8.298554184467947e+27
8.028502220742046, 8.483767067878334e+27
8.212827381782688, 8.5782914197354e+27
8.576979231546943, 8.773613123069194e+27
8.912238763150144, 8.939774212675902e+27
9.131891873803236, 9.049692999045775e+27
9.467153548577931, 9.216578843735371e+27
9.898759354705268, 9.426135420752808e+27
10.234026655305136, 9.587659771465668e+27
10.424780884334476, 9.683672189061731e+27
10.788959925587063, 9.842961946944866e+27
11.220576983364744, 1.0040973591851432e+28
11.555852856650588, 1.0193094918794865e+28
11.74661445283194, 1.027789521008021e+28
