unit: MeV
spectrum:
0.05 1.591e-11
0.15 2.788e-11
0.25 3.437e-11
0.35 3.858e-11
0.45 4.144e-11
0.55 4.322e-11
0.65 4.403e-11
0.75 4.418e-11
0.85 4.394e-11
0.95 4.33e-11
1.05 4.235e-11
1.15 4.115e-11
1.25 3.976e-11
1.35 3.824e-11
1.45 3.661e-11
1.55 3.492e-11
1.65 3.32e-11
1.75 3.146e-11
1.85 2.973e-11
1.95 2.802e-11
2.05 2.634e-11
2.15 2.471e-11
2.25 2.312e-11
2.35 2.16e-11
2.45 2.014e-11
2.55 1.875e-11
2.65 1.742e-11
2.75 1.617e-11
2.85 1.498e-11
2.95 1.387e-11
3.05 1.283e-11
3.15 1.186e-11
3.25 1.096e-11
3.35 1.012e-11
3.45 9.35e-12
3.55 8.637e-12
3.65 7.981e-12
3.75 7.376e-12
3.85 6.807e-12
3.95 6.265e-12
4.05 5.759e-12
4.15 5.302e-12
4.25 4.893e-12
4.35 4.516e-12
4.45 4.147e-12
4.55 3.8e-12
4.65 3.48e-12
4.75 3.184e-12
4.85 2.911e-12
4.95 2.658e-12
5.05 2.424e-12
5.15 2.207e-12
5.25 2.006e-12
5.35 1.82e-12
5.45 1.648e-12
5.55 1.487e-12
5.65 1.339e-12
5.75 1.206e-12
5.85 1.088e-12
5.95 9.841e-13
6.05 8.945e-13
6.15 8.143e-13
6.25 7.366e-13
6.35 6.63e-13
6.45 5.914e-13
6.55 5.212e-13
6.65 4.542e-13
6.75 3.964e-13
6.85 3.539e-13
6.95 3.188e-13
7.05 2.87e-13
7.15 2.583e-13
7.25 2.324e-13
7.35 2.091e-13
7.45 1.88e-13
7.55 1.69e-13
7.65 1.519e-13
7.75 1.364e-13
7.85 1.225e-13
7.95 1.1e-13
8.05 9.872e-14
8.15 8.855e-14
8.25 7.947e-14
8.35 7.124e-14
8.45 6.388e-14
8.55 5.726e-14
8.65 5.131e-14
8.75 4.594e-14
8.85 4.117e-14
8.95 3.686e-14
9.05 3.298e-14
9.15 2.954e-14
9.25 2.64e-14
9.35 2.366e-14
9.45 2.111e-14
9.55 1.89e-14
9.65 1.689e-14
9.75 1.509e-14
9.85 1.349e-14
9.95 1.207e-14
