unit: MeV
spectrum:
0.05 6.057e-11
0.15 1.243e-10
0.25 1.8e-10
0.35 2.233e-10
0.45 2.551e-10
0.55 2.789e-10
0.65 2.987e-10
0.75 3.132e-10
0.85 3.232e-10
0.95 3.31e-10
1.05 3.379e-10
1.15 3.412e-10
1.25 3.417e-10
1.35 3.409e-10
1.45 3.382e-10
1.55 3.328e-10
1.65 3.255e-10
1.75 3.165e-10
1.85 3.078e-10
1.95 2.966e-10
2.05 2.831e-10
2.15 2.684e-10
2.25 2.531e-10
2.35 2.389e-10
2.45 2.24e-10
2.55 2.101e-10
2.65 1.964e-10
2.75 1.819e-10
2.85 1.673e-10
2.95 1.53e-10
3.05 1.4e-10
3.15 1.286e-10
3.25 1.178e-10
3.35 1.07e-10
3.45 9.767e-11
3.55 8.898e-11
3.65 8.054e-11
3.75 7.258e-11
3.85 6.554e-11
3.95 5.938e-11
4.05 5.374e-11
4.15 4.801e-11
4.25 4.283e-11
4.35 3.819e-11
4.45 3.427e-11
4.55 3.083e-11
4.65 2.75e-11
4.75 2.478e-11
4.85 2.224e-11
4.95 1.975e-11
5.05 1.732e-11
5.15 1.494e-11
5.25 1.261e-11
5.35 1.044e-11
5.45 8.918e-12
5.55 7.524e-12
5.65 6.232e-12
5.75 5.256e-12
5.85 4.418e-12
5.95 3.613e-12
6.05 2.838e-12
6.15 2.089e-12
6.25 1.352e-12
6.35 9.567e-13
6.45 9.278e-13
6.55 8.846e-13
6.65 8.321e-13
6.75 7.789e-13
6.85 7.251e-13
6.95 6.708e-13
7.05 6.161e-13
7.15 5.625e-13
7.25 5.125e-13
7.35 4.631e-13
7.45 4.187e-13
7.55 3.789e-13
7.65 3.404e-13
7.75 3.089e-13
7.85 2.792e-13
7.95 2.503e-13
8.05 2.238e-13
8.15 1.996e-13
8.25 1.788e-13
8.35 1.637e-13
8.45 1.491e-13
8.55 1.33e-13
8.65 1.158e-13
8.75 1.047e-13
8.85 9.648e-14
8.95 8.871e-14
9.05 8.124e-14
9.15 7.407e-14
9.25 6.723e-14
9.35 6.071e-14
9.45 5.447e-14
9.55 4.848e-14
9.65 4.271e-14
9.75 3.72e-14
9.85 3.192e-14
9.95 2.684e-14
