unit: MeV
spectrum:
0.05 2.203e-11
0.15 4.274e-11
0.25 5.846e-11
0.35 7.138e-11
0.45 7.915e-11
0.55 8.168e-11
0.65 8.107e-11
0.75 7.79e-11
0.85 7.396e-11
0.95 7.02e-11
1.05 6.699e-11
1.15 6.521e-11
1.25 6.589e-11
1.35 6.761e-11
1.45 6.911e-11
1.55 7.012e-11
1.65 7.009e-11
1.75 6.922e-11
1.85 6.832e-11
1.95 6.641e-11
2.05 6.39e-11
2.15 6.073e-11
2.25 5.732e-11
2.35 5.349e-11
2.45 4.914e-11
2.55 4.516e-11
2.65 4.146e-11
2.75 3.809e-11
2.85 3.476e-11
2.95 3.144e-11
3.05 2.838e-11
3.15 2.606e-11
3.25 2.384e-11
3.35 2.181e-11
3.45 1.992e-11
3.55 1.778e-11
3.65 1.578e-11
3.75 1.425e-11
3.85 1.303e-11
3.95 1.196e-11
4.05 1.087e-11
4.15 9.549e-12
4.25 8.497e-12
4.35 7.625e-12
4.45 6.771e-12
4.55 5.939e-12
4.65 5.134e-12
4.75 4.362e-12
4.85 3.621e-12
4.95 2.912e-12
5.05 2.407e-12
5.15 2.028e-12
5.25 1.658e-12
5.35 1.307e-12
5.45 9.787e-13
5.55 6.699e-13
5.65 3.754e-13
5.75 1.622e-13
5.85 1.409e-13
5.95 1.294e-13
6.05 1.182e-13
6.15 1.073e-13
6.25 9.682e-14
6.35 8.661e-14
6.45 7.676e-14
6.55 6.72e-14
6.65 5.814e-14
6.75 4.949e-14
6.85 4.118e-14
6.95 3.318e-14
7.05 2.553e-14
7.15 1.835e-14
7.25 1.234e-14
7.35 9.291e-15
7.45 6.598e-15
7.55 4.026e-15
7.65 2.443e-15
7.75 2.213e-15
7.85 1.999e-15
7.95 1.79e-15
8.05 1.584e-15
8.15 1.383e-15
8.25 1.187e-15
8.35 9.967e-16
8.45 8.134e-16
8.55 6.378e-16
8.65 4.688e-16
8.75 3.038e-16
8.85 1.423e-16
8.95 1.273e-17
9.05 1.534e-19
9.15 1.321e-19
9.25 1.114e-19
9.35 9.138e-20
9.45 7.203e-20
9.55 5.336e-20
9.65 3.632e-20
9.75 2.158e-20
9.85 7.298e-21
9.95 2.961e-24
