unit: MeV
spectrum:
0.05 1.836e-11
0.15 3.595e-11
0.25 4.678e-11
0.35 5.443e-11
0.45 5.909e-11
0.55 6.195e-11
0.65 6.351e-11
0.75 6.3e-11
0.85 6.211e-11
0.95 6.038e-11
1.05 5.596e-11
1.15 5.116e-11
1.25 4.642e-11
1.35 4.186e-11
1.45 3.758e-11
1.55 3.343e-11
1.65 2.964e-11
1.75 2.629e-11
1.85 2.302e-11
1.95 1.988e-11
2.05 1.717e-11
2.15 1.493e-11
2.25 1.274e-11
2.35 1.056e-11
2.45 8.416e-12
2.55 6.499e-12
2.65 5.632e-12
2.75 5.696e-12
2.85 5.943e-12
2.95 6.406e-12
3.05 7.144e-12
3.15 8.211e-12
3.25 9.64e-12
3.35 1.143e-11
3.45 1.357e-11
3.55 1.604e-11
3.65 1.88e-11
3.75 2.163e-11
3.85 2.355e-11
3.95 2.416e-11
4.05 2.431e-11
4.15 2.571e-11
4.25 2.83e-11
4.35 3.132e-11
4.45 3.427e-11
4.55 3.692e-11
4.65 3.905e-11
4.75 4.1e-11
4.85 4.273e-11
4.95 4.387e-11
5.05 4.455e-11
5.15 4.483e-11
5.25 4.485e-11
5.35 4.468e-11
5.45 4.426e-11
5.55 4.337e-11
5.65 4.233e-11
5.75 4.148e-11
5.85 4.053e-11
5.95 3.974e-11
6.05 3.939e-11
6.15 3.917e-11
6.25 3.852e-11
6.35 3.74e-11
6.45 3.582e-11
6.55 3.39e-11
6.65 3.18e-11
6.75 2.969e-11
6.85 2.758e-11
6.95 2.546e-11
7.05 2.344e-11
7.15 2.16e-11
7.25 1.989e-11
7.35 1.818e-11
7.45 1.647e-11
7.55 1.479e-11
7.65 1.319e-11
7.75 1.181e-11
7.85 1.056e-11
7.95 9.382e-12
8.05 8.334e-12
8.15 7.344e-12
8.25 6.394e-12
8.35 5.507e-12
8.45 4.654e-12
8.55 3.797e-12
8.65 3.028e-12
8.75 2.367e-12
8.85 1.868e-12
8.95 1.397e-12
9.05 9.446e-13
9.15 5.101e-13
9.25 1.268e-13
9.35 4.268e-16
9.45 2.767e-16
9.55 2.521e-16
9.65 2.296e-16
9.75 2.09e-16
9.85 1.903e-16
9.95 1.732e-16
