unit: MeV
spectrum:
0.05 1.702e-15
0.15 7.059e-16
0.25 1.352e-15
0.35 2.319e-15
0.45 3.668e-15
0.55 4.608e-15
0.65 4.878e-15
0.75 5.423e-15
0.85 6.393e-15
0.95 7.967e-15
1.05 1.034e-14
1.15 1.388e-14
1.25 1.945e-14
1.35 2.68e-14
1.45 3.576e-14
1.55 4.37e-14
1.65 4.988e-14
1.75 4.986e-14
1.85 5.108e-14
1.95 5.015e-14
2.05 4.481e-14
2.15 3.81e-14
2.25 3.031e-14
2.35 2.419e-14
2.45 1.996e-14
2.55 1.763e-14
2.65 1.297e-14
2.75 1.055e-14
2.85 7.913e-15
2.95 4.813e-15
3.05 1.718e-15
3.15 9.155e-16
3.25 8.793e-16
3.35 8.357e-16
3.45 7.839e-16
3.55 7.234e-16
3.65 6.537e-16
3.75 5.773e-16
3.85 5.387e-16
3.95 5.145e-16
4.05 4.52e-16
4.15 3.465e-16
4.25 2.202e-16
4.35 8.777e-17
4.45 9.514e-18
4.55 7.035e-18
4.65 6.35e-18
4.75 5.727e-18
4.85 5.163e-18
4.95 4.65e-18
5.05 4.186e-18
5.15 3.766e-18
5.25 3.386e-18
5.35 3.042e-18
5.45 2.732e-18
5.55 2.452e-18
5.65 2.2e-18
5.75 1.972e-18
5.85 1.767e-18
5.95 1.583e-18
6.05 1.417e-18
6.15 1.268e-18
6.25 1.134e-18
6.35 1.014e-18
6.45 9.06e-19
6.55 8.093e-19
6.65 7.225e-19
6.75 6.448e-19
6.85 5.752e-19
6.95 5.13e-19
7.05 4.572e-19
7.15 4.074e-19
7.25 3.629e-19
7.35 3.232e-19
7.45 2.876e-19
7.55 2.56e-19
7.65 2.275e-19
7.75 2.024e-19
7.85 1.799e-19
7.95 1.599e-19
8.05 1.42e-19
8.15 1.261e-19
8.25 1.119e-19
8.35 9.935e-20
8.45 8.819e-20
8.55 7.819e-20
8.65 6.935e-20
8.75 6.15e-20
8.85 5.441e-20
8.95 4.827e-20
9.05 4.277e-20
9.15 3.785e-20
9.25 3.356e-20
9.35 2.962e-20
9.45 2.63e-20
9.55 2.317e-20
9.65 2.06e-20
9.75 1.817e-20
9.85 1.601e-20
9.95 1.418e-20
