unit: MeV
spectrum:
0.05 2.506e-12
0.15 3.846e-12
0.25 4.263e-12
0.35 4.667e-12
0.45 4.935e-12
0.55 4.789e-12
0.65 4.638e-12
0.75 4.435e-12
0.85 4.24e-12
0.95 4.063e-12
1.05 3.842e-12
1.15 3.562e-12
1.25 3.287e-12
1.35 3.023e-12
1.45 2.734e-12
1.55 2.445e-12
1.65 2.134e-12
1.75 1.821e-12
1.85 1.677e-12
1.95 1.539e-12
2.05 1.436e-12
2.15 1.348e-12
2.25 1.262e-12
2.35 1.176e-12
2.45 1.091e-12
2.55 1.01e-12
2.65 9.269e-13
2.75 8.497e-13
2.85 7.846e-13
2.95 7.29e-13
3.05 6.956e-13
3.15 6.788e-13
3.25 6.748e-13
3.35 6.833e-13
3.45 7.033e-13
3.55 7.346e-13
3.65 7.767e-13
3.75 8.221e-13
3.85 8.392e-13
3.95 8.359e-13
4.05 8.374e-13
4.15 8.847e-13
4.25 9.819e-13
4.35 1.101e-12
4.45 1.22e-12
4.55 1.337e-12
4.65 1.443e-12
4.75 1.531e-12
4.85 1.598e-12
4.95 1.641e-12
5.05 1.672e-12
5.15 1.688e-12
5.25 1.683e-12
5.35 1.667e-12
5.45 1.65e-12
5.55 1.612e-12
5.65 1.57e-12
5.75 1.536e-12
5.85 1.514e-12
5.95 1.504e-12
6.05 1.507e-12
6.15 1.513e-12
6.25 1.504e-12
6.35 1.477e-12
6.45 1.433e-12
6.55 1.366e-12
6.65 1.284e-12
6.75 1.202e-12
6.85 1.118e-12
6.95 1.034e-12
7.05 9.496e-13
7.15 8.667e-13
7.25 7.892e-13
7.35 7.131e-13
7.45 6.447e-13
7.55 5.833e-13
7.65 5.241e-13
7.75 4.757e-13
7.85 4.3e-13
7.95 3.856e-13
8.05 3.449e-13
8.15 3.077e-13
8.25 2.757e-13
8.35 2.525e-13
8.45 2.3e-13
8.55 2.052e-13
8.65 1.787e-13
8.75 1.616e-13
8.85 1.489e-13
8.95 1.369e-13
9.05 1.254e-13
9.15 1.144e-13
9.25 1.038e-13
9.35 9.378e-14
9.45 8.416e-14
9.55 7.491e-14
9.65 6.601e-14
9.75 5.75e-14
9.85 4.935e-14
9.95 4.15e-14
