unit: MeV
spectrum:
0.05 1.431e-09
0.15 2.875e-09
0.25 4.128e-09
0.35 5.173e-09
0.45 6.027e-09
0.55 6.732e-09
0.65 7.32e-09
0.75 7.752e-09
0.85 8.092e-09
0.95 8.373e-09
1.05 8.544e-09
1.15 8.618e-09
1.25 8.645e-09
1.35 8.619e-09
1.45 8.532e-09
1.55 8.324e-09
1.65 8.011e-09
1.75 7.698e-09
1.85 7.396e-09
1.95 7.036e-09
2.05 6.644e-09
2.15 6.254e-09
2.25 5.879e-09
2.35 5.512e-09
2.45 5.118e-09
2.55 4.721e-09
2.65 4.313e-09
2.75 3.907e-09
2.85 3.53e-09
2.95 3.213e-09
3.05 2.926e-09
3.15 2.618e-09
3.25 2.286e-09
3.35 1.984e-09
3.45 1.732e-09
3.55 1.51e-09
3.65 1.308e-09
3.75 1.122e-09
3.85 9.468e-10
3.95 7.803e-10
4.05 6.279e-10
4.15 5.055e-10
4.25 3.972e-10
4.35 3.117e-10
4.45 2.501e-10
4.55 2.081e-10
4.65 1.67e-10
4.75 1.266e-10
4.85 8.676e-11
4.95 4.827e-11
5.05 2.936e-11
5.15 2.88e-11
5.25 2.888e-11
5.35 2.883e-11
5.45 2.861e-11
5.55 2.808e-11
5.65 2.744e-11
5.75 2.693e-11
5.85 2.634e-11
5.95 2.586e-11
6.05 2.565e-11
6.15 2.552e-11
6.25 2.511e-11
6.35 2.439e-11
6.45 2.336e-11
6.55 2.21e-11
6.65 2.073e-11
6.75 1.935e-11
6.85 1.797e-11
6.95 1.659e-11
7.05 1.527e-11
7.15 1.407e-11
7.25 1.295e-11
7.35 1.183e-11
7.45 1.072e-11
7.55 9.626e-12
7.65 8.584e-12
7.75 7.679e-12
7.85 6.868e-12
7.95 6.1e-12
8.05 5.418e-12
8.15 4.773e-12
8.25 4.155e-12
8.35 3.578e-12
8.45 3.023e-12
8.55 2.466e-12
8.65 1.966e-12
8.75 1.537e-12
8.85 1.212e-12
8.95 9.067e-13
9.05 6.131e-13
9.15 3.312e-13
9.25 8.256e-14
9.35 5.471e-16
9.45 4.257e-16
9.55 3.878e-16
9.65 3.532e-16
9.75 3.215e-16
9.85 2.927e-16
9.95 2.665e-16
