unit: MeV
spectrum:
0.05 9.557e-12
0.15 1.487e-11
0.25 1.825e-11
0.35 2.071e-11
0.45 2.266e-11
0.55 2.398e-11
0.65 2.434e-11
0.75 2.435e-11
0.85 2.402e-11
0.95 2.36e-11
1.05 2.341e-11
1.15 2.307e-11
1.25 2.206e-11
1.35 2.098e-11
1.45 1.98e-11
1.55 1.846e-11
1.65 1.703e-11
1.75 1.561e-11
1.85 1.456e-11
1.95 1.384e-11
2.05 1.315e-11
2.15 1.242e-11
2.25 1.168e-11
2.35 1.096e-11
2.45 1.024e-11
2.55 9.561e-12
2.65 8.878e-12
2.75 8.226e-12
2.85 7.582e-12
2.95 6.975e-12
3.05 6.399e-12
3.15 5.848e-12
3.25 5.33e-12
3.35 4.858e-12
3.45 4.432e-12
3.55 4.045e-12
3.65 3.683e-12
3.75 3.353e-12
3.85 3.067e-12
3.95 2.81e-12
4.05 2.571e-12
4.15 2.35e-12
4.25 2.147e-12
4.35 1.959e-12
4.45 1.786e-12
4.55 1.626e-12
4.65 1.48e-12
4.75 1.347e-12
4.85 1.224e-12
4.95 1.111e-12
5.05 1.009e-12
5.15 9.152e-13
5.25 8.305e-13
5.35 7.534e-13
5.45 6.83e-13
5.55 6.188e-13
5.65 5.604e-13
5.75 5.073e-13
5.85 4.59e-13
5.95 4.151e-13
6.05 3.752e-13
6.15 3.391e-13
6.25 3.062e-13
6.35 2.765e-13
6.45 2.495e-13
6.55 2.251e-13
6.65 2.029e-13
6.75 1.829e-13
6.85 1.648e-13
6.95 1.485e-13
7.05 1.337e-13
7.15 1.203e-13
7.25 1.083e-13
7.35 9.738e-14
7.45 8.756e-14
7.55 7.87e-14
7.65 7.073e-14
7.75 6.353e-14
7.85 5.706e-14
7.95 5.123e-14
8.05 4.598e-14
8.15 4.124e-14
8.25 3.701e-14
8.35 3.318e-14
8.45 2.975e-14
8.55 2.667e-14
8.65 2.39e-14
8.75 2.14e-14
8.85 1.917e-14
8.95 1.717e-14
9.05 1.536e-14
9.15 1.376e-14
9.25 1.23e-14
9.35 1.102e-14
9.45 9.832e-15
9.55 8.805e-15
9.65 7.868e-15
9.75 7.03e-15
9.85 6.283e-15
9.95 5.621e-15
