unit: MeV
spectrum:
0.05 1.173e-11
0.15 2.516e-11
0.25 3.107e-11
0.35 3.039e-11
0.45 2.923e-11
0.55 2.683e-11
0.65 2.17e-11
0.75 1.527e-11
0.85 1.071e-11
0.95 7.14e-12
1.05 4.803e-12
1.15 2.811e-12
1.25 1.651e-12
1.35 9.624e-13
1.45 8.52e-13
1.55 8.199e-13
1.65 7.868e-13
1.75 7.529e-13
1.85 7.187e-13
1.95 6.845e-13
2.05 6.505e-13
2.15 6.171e-13
2.25 5.843e-13
2.35 5.523e-13
2.45 5.213e-13
2.55 4.913e-13
2.65 4.624e-13
2.75 4.346e-13
2.85 4.08e-13
2.95 3.826e-13
3.05 3.584e-13
3.15 3.353e-13
3.25 3.134e-13
3.35 2.927e-13
3.45 2.731e-13
3.55 2.546e-13
3.65 2.372e-13
3.75 2.207e-13
3.85 2.053e-13
3.95 1.908e-13
4.05 1.772e-13
4.15 1.644e-13
4.25 1.525e-13
4.35 1.414e-13
4.45 1.309e-13
4.55 1.212e-13
4.65 1.122e-13
4.75 1.037e-13
4.85 9.585e-14
4.95 8.854e-14
5.05 8.175e-14
5.15 7.544e-14
5.25 6.959e-14
5.35 6.416e-14
5.45 5.913e-14
5.55 5.447e-14
5.65 5.015e-14
5.75 4.616e-14
5.85 4.247e-14
5.95 3.906e-14
6.05 3.591e-14
6.15 3.3e-14
6.25 3.032e-14
6.35 2.784e-14
6.45 2.556e-14
6.55 2.345e-14
6.65 2.152e-14
6.75 1.973e-14
6.85 1.809e-14
6.95 1.658e-14
7.05 1.519e-14
7.15 1.392e-14
7.25 1.275e-14
7.35 1.167e-14
7.45 1.068e-14
7.55 9.771e-15
7.65 8.938e-15
7.75 8.174e-15
7.85 7.473e-15
7.95 6.831e-15
8.05 6.241e-15
8.15 5.703e-15
8.25 5.208e-15
8.35 4.756e-15
8.45 4.342e-15
8.55 3.963e-15
8.65 3.616e-15
8.75 3.3e-15
8.85 3.009e-15
8.95 2.745e-15
9.05 2.503e-15
9.15 2.282e-15
9.25 2.079e-15
9.35 1.895e-15
9.45 1.726e-15
9.55 1.572e-15
9.65 1.432e-15
9.75 1.304e-15
9.85 1.187e-15
9.95 1.081e-15
