unit: MeV
spectrum:
0.05 8.972e-11
0.15 6.063e-11
0.25 5.174e-11
0.35 5.885e-11
0.45 6.064e-11
0.55 5.507e-11
0.65 4.846e-11
0.75 4.721e-11
0.85 4.581e-11
0.95 4.441e-11
1.05 4.323e-11
1.15 4.332e-11
1.25 4.363e-11
1.35 4.02e-11
1.45 3.552e-11
1.55 3.073e-11
1.65 2.331e-11
1.75 1.699e-11
1.85 1.263e-11
1.95 7.776e-12
2.05 3.196e-12
2.15 2.005e-12
2.25 1.828e-12
2.35 1.649e-12
2.45 1.479e-12
2.55 1.362e-12
2.65 1.291e-12
2.75 1.264e-12
2.85 1.215e-12
2.95 1.139e-12
3.05 1.037e-12
3.15 8.918e-13
3.25 7.378e-13
3.35 6.039e-13
3.45 5.269e-13
3.55 4.66e-13
3.65 4.186e-13
3.75 4.013e-13
3.85 3.94e-13
3.95 3.626e-13
4.05 3.327e-13
4.15 3.024e-13
4.25 2.705e-13
4.35 2.37e-13
4.45 2e-13
4.55 1.659e-13
4.65 1.544e-13
4.75 1.497e-13
4.85 1.461e-13
4.95 1.433e-13
5.05 1.408e-13
5.15 1.317e-13
5.25 1.193e-13
5.35 1.07e-13
5.45 9.589e-14
5.55 8.432e-14
5.65 7.231e-14
5.75 5.976e-14
5.85 4.653e-14
5.95 3.702e-14
6.05 3.353e-14
6.15 3.082e-14
6.25 2.831e-14
6.35 2.6e-14
6.45 2.387e-14
6.55 2.19e-14
6.65 2.009e-14
6.75 1.843e-14
6.85 1.69e-14
6.95 1.549e-14
7.05 1.419e-14
7.15 1.3e-14
7.25 1.19e-14
7.35 1.09e-14
7.45 9.973e-15
7.55 9.124e-15
7.65 8.347e-15
7.75 7.633e-15
7.85 6.978e-15
7.95 6.379e-15
8.05 5.828e-15
8.15 5.325e-15
8.25 4.864e-15
8.35 4.442e-15
8.45 4.055e-15
8.55 3.701e-15
8.65 3.377e-15
8.75 3.082e-15
8.85 2.81e-15
8.95 2.563e-15
9.05 2.337e-15
9.15 2.131e-15
9.25 1.942e-15
9.35 1.77e-15
9.45 1.612e-15
9.55 1.468e-15
9.65 1.337e-15
9.75 1.217e-15
9.85 1.108e-15
9.95 1.009e-15
