unit: MeV
spectrum:
0.05 3.67e-12
0.15 8.08e-12
0.25 1.063e-11
0.35 1.096e-11
0.45 1.07e-11
0.55 1.041e-11
0.65 9.521e-12
0.75 9.165e-12
0.85 9.803e-12
0.95 9.362e-12
1.05 7.455e-12
1.15 5.276e-12
1.25 3.24e-12
1.35 3.21e-12
1.45 3.233e-12
1.55 3.119e-12
1.65 2.891e-12
1.75 2.454e-12
1.85 2.004e-12
1.95 1.576e-12
2.05 1.128e-12
2.15 7.413e-13
2.25 4.65e-13
2.35 2.599e-13
2.45 1.483e-13
2.55 6.597e-14
2.65 2.019e-14
2.75 5e-16
2.85 3.826e-16
2.95 2.893e-16
3.05 2.011e-16
3.15 1.255e-16
3.25 7.617e-17
3.35 4.11e-17
3.45 2.283e-17
3.55 9.967e-18
3.65 3.262e-18
3.75 0
3.85 0
3.95 0
4.05 0
4.15 0
4.25 0
4.35 0
4.45 0
4.55 0
4.65 0
4.75 0
4.85 0
4.95 0
5.05 0
5.15 0
5.25 0
5.35 0
5.45 0
5.55 0
5.65 0
5.75 0
5.85 0
5.95 0
6.05 0
6.15 0
6.25 0
6.35 0
6.45 0
6.55 0
6.65 0
6.75 0
6.85 0
6.95 0
7.05 0
7.15 0
7.25 0
7.35 0
7.45 0
7.55 0
7.65 0
7.75 0
7.85 0
7.95 0
8.05 0
8.15 0
8.25 0
8.35 0
8.45 0
8.55 0
8.65 0
8.75 0
8.85 0
8.95 0
9.05 0
9.15 0
9.25 0
9.35 0
9.45 0
9.55 0
9.65 0
9.75 0
9.85 0
9.95 0
