unit: MeV
spectrum:
0.05 4.613e-12
0.15 8.141e-12
0.25 1.003e-11
0.35 1.115e-11
0.45 1.185e-11
0.55 1.221e-11
0.65 1.239e-11
0.75 1.243e-11
0.85 1.234e-11
0.95 1.217e-11
1.05 1.193e-11
1.15 1.163e-11
1.25 1.129e-11
1.35 1.092e-11
1.45 1.054e-11
1.55 1.013e-11
1.65 9.744e-12
1.75 9.364e-12
1.85 8.981e-12
1.95 8.608e-12
2.05 8.239e-12
2.15 7.827e-12
2.25 7.363e-12
2.35 6.89e-12
2.45 6.407e-12
2.55 5.956e-12
2.65 5.503e-12
2.75 5.066e-12
2.85 4.628e-12
2.95 4.215e-12
3.05 3.844e-12
3.15 3.509e-12
3.25 3.195e-12
3.35 2.908e-12
3.45 2.651e-12
3.55 2.418e-12
3.65 2.199e-12
3.75 2.001e-12
3.85 1.83e-12
3.95 1.676e-12
4.05 1.534e-12
4.15 1.402e-12
4.25 1.281e-12
4.35 1.169e-12
4.45 1.065e-12
4.55 9.702e-13
4.65 8.831e-13
4.75 8.032e-13
4.85 7.3e-13
4.95 6.628e-13
5.05 6.013e-13
5.15 5.456e-13
5.25 4.952e-13
5.35 4.492e-13
5.45 4.072e-13
5.55 3.689e-13
5.65 3.341e-13
5.75 3.025e-13
5.85 2.737e-13
5.95 2.475e-13
6.05 2.237e-13
6.15 2.022e-13
6.25 1.826e-13
6.35 1.648e-13
6.45 1.487e-13
6.55 1.342e-13
6.65 1.21e-13
6.75 1.091e-13
6.85 9.827e-14
6.95 8.852e-14
7.05 7.969e-14
7.15 7.173e-14
7.25 6.455e-14
7.35 5.806e-14
7.45 5.22e-14
7.55 4.692e-14
7.65 4.217e-14
7.75 3.788e-14
7.85 3.402e-14
7.95 3.054e-14
8.05 2.741e-14
8.15 2.459e-14
8.25 2.207e-14
8.35 1.978e-14
8.45 1.774e-14
8.55 1.59e-14
8.65 1.425e-14
8.75 1.276e-14
8.85 1.143e-14
8.95 1.023e-14
9.05 9.158e-15
9.15 8.202e-15
9.25 7.332e-15
9.35 6.569e-15
9.45 5.862e-15
9.55 5.249e-15
9.65 4.691e-15
9.75 4.191e-15
9.85 3.746e-15
9.95 3.351e-15
